symbol,alert_date,strategy,entry_price,quantity,trade_entry_date,match_type
NN,2025-05-01,BreakFutPennies-36/144MACDVxSig0,12.75,200.0,2025-04-29T00:00:00,TRADE_2D_BEFORE_ALERT
KTOS,2025-05-01,BreakFutPennies-hold-3MACDVx-lowVolume,34.39,80.0,2025-04-29T00:00:00,TRADE_2D_BEFORE_ALERT
OKLO,2025-05-01,BreakFutPennies-4/144MACDVxMaxSig0,26.07,200.0,2025-05-01T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-01,BreakFutPennies-hold-3MACDVx-lowVolume,10.33,200.0,2025-05-02T00:00:00,TRADE_1D_AFTER_ALERT
RGTI,2025-05-01,BreakFutPennies-hold-3MACDVx-lowVolume,10.33,100.0,2025-05-02T00:00:00,TRADE_1D_AFTER_ALERT
ASTS,2025-05-01,BreakFutPennies-4/144MACDVxMaxSig0,27.25,50.0,2025-05-02T00:00:00,TRADE_1D_AFTER_ALERT
ASTS,2025-05-01,BreakFutPennies-4/144MACDVxMaxSig0,27.25,75.0,2025-05-02T00:00:00,TRADE_1D_AFTER_ALERT
ASTS,2025-05-01,BreakFutPennies-4/144MACDVxMaxSig0,27.29,100.0,2025-05-02T00:00:00,TRADE_1D_AFTER_ALERT
CHEF,2025-05-01,BreakFutPennies-HiVolumeSqz-MACDorEMATrend,56.97,44.0,2025-04-30T00:00:00,TRADE_1D_BEFORE_ALERT
OKLO,2025-05-01,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,26.07,200.0,2025-05-01T00:00:00,SAME_DAY_ENTRY
HWM,2025-05-01,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,135.94,20.0,2025-04-28T00:00:00,TRADE_3D_BEFORE_ALERT
HIMS,2025-05-02,BreakFutPennies-36/144MACDVxSig0,35.79,50.0,2025-05-01T00:00:00,TRADE_1D_BEFORE_ALERT
HIMS,2025-05-02,BreakFutPennies-36/144MACDVxSig0,35.79,50.0,2025-05-01T00:00:00,TRADE_1D_BEFORE_ALERT
SPOT,2025-05-02,BreakFutPennies-36/144MACDVxSig0,601.2,4.0,2025-04-28T00:00:00,TRADE_4D_BEFORE_ALERT
STIM,2025-05-02,BreakFutPennies-36/144MACDVxSig0,4.63,500.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
CHEF,2025-05-02,BreakFutPennies-36/144MACDVxSig0,56.97,44.0,2025-04-30T00:00:00,TRADE_2D_BEFORE_ALERT
ROOT,2025-05-02,BreakFutPennies-36/144MACDVxSig0,149.76,20.0,2025-04-28T00:00:00,TRADE_4D_BEFORE_ALERT
SPOT,2025-05-02,BreakFutPennies-NewDICross-DarvasStocks,601.2,4.0,2025-04-28T00:00:00,TRADE_4D_BEFORE_ALERT
SPOT,2025-05-02,BreakFut,601.2,4.0,2025-04-28T00:00:00,TRADE_4D_BEFORE_ALERT
TKNO,2025-05-02,BreakFut,6.25,300.0,2025-05-07T00:00:00,TRADE_5D_AFTER_ALERT
IDCC,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend,201.59,15.0,2025-04-29T00:00:00,TRADE_3D_BEFORE_ALERT
HOOD,2025-05-02,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,48.47,100.0,2025-04-28T00:00:00,TRADE_4D_BEFORE_ALERT
ASTS,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,27.25,50.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,27.25,75.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,27.29,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend,27.25,50.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend,27.25,75.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend,27.29,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
HOOD,2025-05-02,BreakFutPennies-hold-3MACDVx-lowVolume,48.47,100.0,2025-04-28T00:00:00,TRADE_4D_BEFORE_ALERT
ASTS,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-Base,27.25,50.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-Base,27.25,75.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-Base,27.29,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,27.25,50.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,27.25,75.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,27.29,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.25,50.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.25,75.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.29,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
BBIO,2025-05-02,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt-W,38.57,100.0,2025-05-01T00:00:00,TRADE_1D_BEFORE_ALERT
IDCC,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-Base,201.59,15.0,2025-04-29T00:00:00,TRADE_3D_BEFORE_ALERT
RGTI,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,10.33,200.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,10.33,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,10.33,200.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,10.33,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,10.33,200.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-02,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,10.33,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
AUR,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,7.92,300.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
QUBT,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,7.65,200.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
QUBT,2025-05-02,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,7.65,100.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
CRNC,2025-05-02,BreakFutPennies-36/144MACDVxSig0,10.24,295.0,2025-05-05T00:00:00,TRADE_3D_AFTER_ALERT
AUR,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-BaseW,7.92,300.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
RGTI,2025-05-02,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-Base,10.33,200.0,2025-05-02T00:00:00,SAME_DAY_ENTRY
